Month,Diversity
2020-01,25.944
2020-02,34.103
2020-03,54.0662
2020-04,59.1907
2020-05,63.8522
2020-06,70.4285
2020-07,75.5938
2020-08,81.8903
2020-09,89.5443
2020-10,102.606
2020-11,113.534
2020-12,126.668
2021-01,139.046
2021-02,142.19
2021-03,142.272
2021-04,138.146
2021-05,140.826
2021-06,131.78
2021-07,123.092
2021-08,124.956
2021-09,128.393
2021-10,133.259
2021-11,141.142
2021-12,144.167
2022-01,95.6634
2022-02,92.3826
2022-03,89.132
2022-04,87.4823
2022-05,94.8531
2022-06,100.291
2022-07,96.9249
2022-08,95.1368
2022-09,102.288
2022-10,110.021
2022-11,116.172
2022-12,121.724
2023-01,119.41
2023-02,112.148
2023-03,112.583
2023-04,102.979
2023-05,101.554
2023-06,99.8547
2023-07,103.291
2023-08,112.658
2023-09,118.425
2023-10,117.476
2023-11,113.839
2023-12,80.6318
