Month,Diversity,Infections,Recombinants
2020-02,34.103,76096,1
2020-03,54.0662,783348,4
2020-04,59.1907,2412716,4
2020-05,63.8522,2901229,11
2020-06,70.4285,4292072,11
2020-07,75.5938,7118656,11
2020-08,81.8903,7941296,18
2020-09,89.5443,8498335,32
2020-10,102.606,12122070,42
2020-11,113.534,17266494,43
2020-12,126.668,20356383,69
2021-01,139.046,19546070,91
2021-02,142.19,11253786,96
2021-03,142.272,14772312,116
2021-04,138.146,22542204,108
2021-05,140.826,19347136,83
2021-06,131.78,11472596,94
2021-07,123.092,15676958,111
2021-08,124.956,19894993,118
2021-09,128.393,16061455,117
2021-10,133.259,13064658,94
2021-11,141.142,15702891,107
2021-12,144.167,25614610,61
2022-01,95.6634,90483564,69
2022-02,92.3826,58251972,63
2022-03,89.132,51347034,64
2022-04,87.4823,25217142,61
2022-05,94.8531,16213566,63
2022-06,100.291,17732748,81
2022-07,96.9249,29650733,62
2022-08,95.1368,25713990,83
2022-09,102.288,14721332,75
2022-10,110.021,12795215,64
2022-11,116.172,12388536,46
2022-12,121.724,17219669,37
2023-01,119.41,10270797,28
2023-02,112.148,4587649,28
