Strain,DateEmerged,DateDesignated,Delay
XB,2020-09,2021-11,14
XA,2021-01,2021-05,4
XS,2022-01,2022-04,3
XAW,2022-06,2022-08,2
XD,2022-01,2022-03,2
XP,2022-02,2022-04,2
XF,2022-01,2022-03,2
XBC,2022-07,2022-09,2
XAY,2022-05,2022-08,3
XBA,2022-05,2022-08,3
XZ,2022-02,2022-06,4
XAD,2022-02,2022-06,4
XAT,2022-03,2022-08,5
XT,2022-01,2022-04,3
XAH,2022-01,2022-06,5
XAP,2022-03,2022-07,4
XAE,2022-02,2022-07,5
XAC,2022-02,2022-06,4
XAK,2022-05,2022-07,2
XBB,2022-09,2022-09,0
XCE,2023-02,2023-06,4
XBV,2022-11,2023-03,4
XCG,2022-10,2023-06,8
XCC,2023-01,2023-04,3
XBW,2022-11,2023-03,4
XCD,2023-01,2023-06,5
XBL,2022-12,2023-01,1
XBN,2022-10,2023-01,3
XBJ,2022-09,2022-12,3
XBD,2022-09,2022-10,1
XBP,2022-10,2023-01,3
XBR,2022-11,2023-02,3
XCA,2022-12,2023-04,4
XBS,2022-11,2023-02,3
XBY,2022-12,2023-03,3
XBU,2022-10,2023-03,5
XBF,2022-09,2022-11,2
XBK,2022-08,2022-12,4
XBQ,2022-09,2023-02,5
XBH,2022-07,2022-11,4
XAJ,2022-05,2022-07,2
XAS,2022-04,2022-08,4
XBZ,2022-10,2023-03,5
XAZ,2022-05,2022-08,3
XCB,2022-12,2023-04,4
XBM,2022-08,2023-01,5
XBE,2022-07,2022-10,3
XBG,2022-07,2022-11,4
XBT,2022-10,2023-02,4
XAV,2022-06,2022-08,2
XAN,2022-05,2022-07,2
XL,2022-02,2022-03,1
XU,2022-01,2022-04,3
XG,2022-01,2022-03,2
XH,2022-01,2022-03,2
XAF,2022-02,2022-06,4
XY,2022-03,2022-05,2
XE,2022-02,2022-03,1
XJ,2022-01,2022-03,2
XV,2022-02,2022-05,3
XM,2022-02,2022-03,1
XK,2022-02,2022-03,1
XAQ,2022-03,2022-08,5
XAL,2022-02,2022-07,5
XAA,2022-02,2022-06,4
XAB,2022-02,2022-06,4
XAM,2022-03,2022-07,4
XAG,2022-02,2022-06,4
XAU,2022-03,2022-08,5
XAR,2022-02,2022-08,6
XW,2022-03,2022-05,2
XN,2022-02,2022-04,2
XQ,2022-02,2022-04,2
XR,2022-02,2022-04,2
XC,2021-07,2021-11,4
