Month	Null_DRE_Prob
2020-02	0.085000
2020-03	0.100000
2020-04	0.191000
2020-05	0.356000
2020-06	0.422000
2020-07	0.507000
2020-08	0.597000
2020-09	0.628000
2020-10	0.702000
2020-11	0.739000
2020-12	0.780000
2021-01	0.798000
2021-02	0.747000
2021-03	0.683000
2021-04	0.707000
2021-05	0.735000
2021-06	0.687000
2021-07	0.571000
2021-08	0.590000
2021-09	0.630000
2021-10	0.697000
2021-11	0.732000
2021-12	0.700000
2022-01	0.298000
2022-02	0.361000
2022-03	0.299000
2022-04	0.305000
2022-05	0.340000
2022-06	0.390000
2022-07	0.433000
2022-08	0.463000
2022-09	0.563000
2022-10	0.614000
2022-11	0.670000
2022-12	0.629000
2023-01	0.655000
2023-02	0.622000
