NodeID,MetadataMonth,ChronMonth
node_1033609,2020-04,2022-05
node_1033534,2020-04,2022-02
node_2205679,2022-10,2022-03
node_1460837,2023-01,2022-09
node_908965,2022-01,2022-06
node_1305662,2022-12,2022-12
node_912310,2020-02,2021-10
node_908963,2022-01,2022-04
node_1232534,2023-02,2023-02
node_1295528,2023-01,2023-01
node_912308,2020-02,2021-08
node_1232510,2022-12,2022-11
node_1232511,2022-12,2022-11
node_1295525,2023-01,2022-12
node_1295526,2023-01,2022-12
node_1295527,2023-01,2022-12
node_1114565,2023-02,2023-01
node_908962,2022-01,2022-02
node_1297994,2023-02,2023-02
node_1295501,2023-01,2022-12
node_1084026,2023-02,2023-02
node_911455,2022-06,2022-05
node_1101495,2023-01,2023-01
node_1295504,2023-02,2022-12
node_1270552,2023-02,2023-02
node_912103,2020-02,2021-05
node_1310275,2022-10,2022-10
node_908957,2020-02,2021-04
node_1001696,2023-01,2023-01
node_1295533,2023-01,2023-01
node_1380618,2022-12,2023-01
node_1460944,2023-02,2023-01
node_1295508,2023-02,2023-01
node_1214048,2023-01,2023-01
node_2061051,2022-12,2022-11
node_1207583,2023-02,2023-02
node_1421962,2023-01,2023-01
node_1704567,2023-01,2023-01
node_1849159,2022-12,2022-12
node_2065986,2022-11,2022-10
node_1295707,2022-03,2022-11
node_911454,2022-05,2022-01
node_1380617,2022-12,2022-12
node_1310274,2022-09,2022-09
node_1365291,2022-09,2022-09
node_1377128,2022-08,2022-08
node_1378081,2022-12,2022-12
node_1111808,2023-02,2023-01
node_1778972,2023-01,2022-11
node_1294292,2023-02,2023-02
node_1636209,2023-01,2023-01
node_553513,2022-11,2022-10
node_1915460,2023-02,2023-02
node_1378038,2022-11,2022-10
node_1001695,2023-01,2022-11
node_1189840,2022-11,2022-11
node_1377982,2022-10,2022-09
node_2065984,2022-06,2022-07
node_1188485,2023-02,2023-01
node_1268033,2023-01,2023-01
node_1309803,2023-02,2023-02
node_1365290,2022-09,2022-08
node_1239162,2023-01,2022-12
node_908961,2022-01,2021-09
node_1707460,2022-04,2022-08
node_2156341,2022-12,2022-09
node_2156342,2022-12,2022-10
node_1294290,2023-02,2023-02
node_1001694,2023-01,2022-08
node_1416549,2023-01,2023-01
node_1377159,2023-01,2023-01
node_1684454,2022-12,2022-12
node_1082770,2022-12,2022-12
node_1461036,2022-11,2022-10
node_1377968,2022-10,2022-08
node_1584697,2022-01,2022-06
node_1584698,2022-01,2022-06
node_1189839,2022-11,2022-10
node_1434657,2023-01,2022-12
node_2065978,2022-06,2022-06
node_1190576,2022-10,2022-10
node_1698705,2023-02,2023-02
node_1461027,2022-11,2022-09
node_1190529,2022-08,2022-10
node_1715535,2022-10,2022-10
node_1460963,2023-01,2023-01
node_1392554,2022-10,2022-10
node_1035922,2023-01,2022-11
node_1663803,2022-10,2022-09
node_1508762,2022-06,2022-06
node_1082812,2022-11,2022-11
node_2156340,2022-12,2022-08
node_1286841,2023-02,2023-01
node_1310133,2023-01,2022-12
node_1713884,2022-09,2022-09
node_1380621,2022-12,2023-01
node_1001693,2022-08,2022-06
node_1688698,2023-01,2022-12
node_1310115,2022-11,2022-10
node_2065977,2022-06,2022-06
node_1185037,2022-01,2022-11
node_1185038,2022-01,2022-11
node_1960550,2023-02,2023-01
node_1392143,2023-02,2023-02
node_1626349,2023-02,2023-01
node_1424977,2023-01,2023-01
node_1849093,2023-02,2022-12
node_1412912,2023-01,2022-12
node_1377104,2022-02,2022-06
node_1633477,2022-12,2022-12
node_1670124,2023-02,2023-01
node_1849095,2023-02,2023-02
node_1647161,2023-02,2023-02
node_1261609,2023-02,2023-01
node_1277583,2023-01,2023-01
node_1380871,2023-01,2022-12
node_1693585,2023-01,2023-01
node_1431239,2023-01,2023-01
node_1432850,2023-02,2022-12
node_1426570,2023-02,2022-12
node_1816282,2022-12,2022-12
node_1626068,2023-01,2022-12
node_1849090,2023-01,2022-11
node_1609466,2022-09,2022-08
node_1377168,2023-01,2023-01
node_1829766,2023-02,2022-11
node_1401692,2022-10,2022-09
node_1417714,2022-12,2022-11
node_1880595,2023-01,2022-12
node_1461214,2022-10,2022-09
node_1001692,2022-05,2022-05
node_1590041,2022-10,2022-09
node_1461043,2022-12,2022-11
node_1680573,2023-01,2023-01
node_1717064,2023-01,2023-01
node_1310303,2022-09,2022-09
node_1666588,2022-11,2022-11
node_1691487,2022-11,2022-11
node_1252193,2022-12,2022-12
node_2044874,2022-12,2022-11
node_1461048,2023-02,2023-02
node_1849143,2022-12,2022-12
node_1401697,2022-11,2022-11
node_1622395,2022-12,2022-11
node_1713940,2023-01,2022-12
node_1829764,2023-02,2022-10
node_1461154,2022-06,2022-06
node_1461193,2022-12,2022-11
node_1193590,2023-01,2023-01
node_1742550,2023-02,2023-01
node_909015,2022-11,2022-09
node_1659908,2023-01,2023-01
node_1707627,2022-11,2022-11
node_2156321,2022-06,2022-06
node_1634768,2022-12,2022-12
node_1900870,2023-01,2022-12
node_1433701,2023-01,2023-01
node_1461212,2022-10,2022-08
node_1721750,2022-12,2022-12
node_1754790,2022-12,2022-11
node_1377222,2023-01,2022-11
node_1001691,2022-05,2022-04
node_1431231,2022-11,2022-11
node_1310135,2023-01,2022-12
node_1363155,2022-10,2022-10
node_1312563,2022-11,2022-11
node_1580420,2022-09,2022-09
node_2136884,2022-07,2022-09
node_2065720,2022-12,2022-12
node_1821725,2022-12,2022-12
node_1666902,2022-11,2022-11
node_1938786,2022-11,2022-09
node_1460958,2022-11,2022-08
node_1849763,2022-12,2022-12
node_1692841,2022-12,2022-11
node_1365991,2022-08,2022-07
node_1441976,2022-11,2022-10
node_1586452,2022-07,2022-07
node_1696393,2022-12,2022-12
node_1707712,2023-01,2022-12
node_1849072,2023-01,2023-01
node_1812205,2022-12,2022-12
node_1619873,2023-01,2023-01
node_1820066,2023-01,2022-12
node_1393860,2022-11,2022-11
node_2205672,2022-12,2022-11
node_1508599,2022-05,2022-04
node_1508600,2022-05,2022-05
node_1404814,2022-10,2022-10
node_908959,2022-01,2021-06
node_1999812,2023-02,2022-10
node_1663006,2023-01,2022-10
node_2012871,2022-11,2022-10
node_1461211,2022-10,2022-07
node_2023169,2022-11,2022-11
node_1580441,2022-12,2022-12
node_1983301,2022-08,2022-07
node_1404967,2022-12,2022-11
node_1661143,2022-12,2022-09
node_1944018,2023-01,2022-12
node_1814830,2022-12,2022-12
node_1686179,2022-11,2022-11
node_2205656,2022-11,2022-08
node_1589943,2022-10,2022-08
node_2033178,2022-12,2022-12
node_1636504,2022-12,2022-12
node_1609458,2023-01,2022-10
node_1389214,2022-12,2022-12
node_1663825,2022-12,2022-12
node_1377970,2022-10,2022-09
node_1638396,2022-11,2022-09
node_2065664,2022-07,2022-07
node_1993089,2022-04,2022-06
node_1633278,2022-12,2022-12
node_1622301,2023-01,2022-11
node_1661145,2022-12,2022-11
node_2044052,2023-01,2022-11
node_1747763,2022-11,2022-09
node_1658993,2022-12,2022-12
node_1394246,2022-12,2022-12
node_1630804,2022-11,2022-11
node_1892117,2022-12,2022-11
node_1622516,2022-11,2022-09
node_1747765,2022-11,2022-11
node_1331681,2022-12,2022-12
node_1461057,2022-12,2022-11
node_1585752,2022-12,2022-12
node_1377137,2022-11,2022-11
node_1707576,2022-12,2022-11
node_1377138,2022-12,2022-11
node_2255472,2022-09,2022-09
node_1819221,2022-11,2022-11
node_1749362,2022-10,2022-09
node_1960218,2022-11,2022-10
node_909418,2022-12,2022-11
node_1882189,2022-08,2022-08
node_2114087,2022-05,2022-06
node_1823156,2022-11,2022-11
node_2065842,2022-09,2022-08
node_1391764,2022-11,2022-11
node_1707638,2022-10,2022-10
node_1699188,2022-11,2022-11
node_1974498,2022-12,2022-12
node_1617150,2022-12,2022-11
node_1824674,2022-12,2022-11
node_1402542,2022-11,2022-11
node_1382422,2022-12,2022-11
node_1614574,2022-12,2022-12
node_1313133,2022-12,2022-12
node_1610455,2022-11,2022-11
node_1401938,2022-11,2022-11
node_1675249,2022-11,2022-09
node_1938785,2022-11,2022-08
node_2114210,2022-09,2022-09
node_1311385,2022-12,2022-11
node_2131210,2022-12,2022-12
node_2065832,2022-12,2022-11
node_1310894,2022-10,2022-10
node_1584862,2022-11,2022-10
node_1734556,2022-11,2022-11
node_2063059,2022-09,2022-09
node_2115640,2022-11,2022-10
node_1312160,2022-11,2022-10
node_2066162,2022-07,2022-07
node_2136952,2022-10,2022-10
node_1947780,2022-11,2022-09
node_1823971,2022-11,2022-11
node_1826191,2022-11,2022-11
node_1509011,2022-12,2022-10
node_1662961,2022-12,2022-12
node_1344341,2022-12,2022-10
node_1377979,2023-01,2022-11
node_1441647,2022-12,2022-12
node_1615030,2022-12,2022-12
node_1413505,2022-12,2022-11
node_1827051,2022-08,2022-08
node_1790424,2022-04,2022-05
node_1714217,2022-10,2022-09
node_2065878,2022-10,2022-09
node_1659770,2022-11,2022-10
node_2043265,2022-12,2022-11
node_1605396,2022-11,2022-11
node_1389754,2022-09,2022-09
node_1784033,2022-10,2022-09
node_2043253,2022-10,2022-09
node_1461120,2022-12,2022-09
node_1910816,2022-12,2022-10
node_1818182,2022-11,2022-11
node_1745593,2022-10,2022-10
node_2170808,2022-10,2022-10
node_2273276,2022-07,2022-06
node_1427849,2022-11,2022-10
node_1404775,2022-10,2022-10
node_1628585,2022-11,2022-11
node_1675686,2022-11,2022-11
node_1001690,2022-05,2022-02
node_2114094,2022-09,2022-09
node_2092112,2022-06,2022-05
node_1695614,2022-11,2022-11
node_1723786,2022-10,2022-10
node_1694734,2022-11,2022-09
node_1909944,2022-04,2022-06
node_1677260,2022-11,2022-11
node_2060781,2022-11,2022-11
node_1585686,2022-10,2022-10
node_1605509,2022-10,2022-10
node_1789051,2022-09,2022-09
node_1707600,2022-10,2022-10
node_2027072,2022-10,2022-10
node_1825678,2022-11,2022-11
node_1835269,2022-07,2022-07
node_1310252,2022-08,2022-09
node_1584311,2022-10,2022-09
node_1995011,2022-10,2022-09
node_2255460,2022-06,2022-05
node_1659649,2022-10,2022-10
node_2198216,2022-12,2022-08
node_1800823,2022-10,2022-09
node_1980189,2022-09,2022-09
node_1723107,2022-11,2022-11
node_1628576,2022-12,2022-11
node_1707694,2022-11,2022-10
node_1874946,2022-10,2022-10
node_2065960,2022-12,2022-11
node_1713374,2022-09,2022-09
node_1362858,2022-10,2022-09
node_1899787,2022-09,2022-09
node_1765633,2022-02,2022-05
node_1621325,2022-09,2022-10
node_2031811,2022-11,2022-10
node_1881007,2022-11,2022-11
node_1583753,2022-11,2022-10
node_1862464,2022-10,2022-09
node_2255466,2022-11,2022-09
node_1874932,2022-10,2022-10
node_1746402,2022-11,2022-10
node_1790444,2022-08,2022-08
node_1847236,2022-11,2022-11
node_1807775,2022-11,2022-10
node_1861608,2022-11,2022-10
node_1843959,2022-10,2022-10
node_1884960,2022-07,2022-07
node_1914324,2022-09,2022-08
node_2110208,2022-10,2022-10
node_1914325,2022-09,2022-09
node_2205654,2022-11,2022-05
node_941782,2022-05,2022-05
node_941783,2022-05,2022-05
node_2006199,2022-07,2022-06
node_1914326,2022-09,2022-09
node_1435950,2022-10,2022-10
node_2090281,2022-10,2022-10
node_1435454,2022-10,2022-09
node_2065869,2022-10,2022-09
node_1365460,2022-09,2022-09
node_1787671,2022-09,2022-09
node_2102953,2022-07,2022-07
node_1955906,2022-10,2022-10
node_2131208,2022-10,2022-10
node_1439779,2022-09,2022-09
node_1584727,2022-07,2022-06
node_1583078,2022-07,2022-06
node_1922350,2022-10,2022-09
node_1956404,2022-10,2022-10
node_1812200,2022-08,2022-07
node_2030494,2022-09,2022-09
node_1377949,2022-10,2022-10
node_1830901,2022-08,2022-08
node_2034966,2022-06,2022-06
node_2255459,2022-06,2022-04
node_1848630,2022-06,2022-06
node_1802228,2022-05,2022-05
node_2050836,2022-07,2022-06
node_1824128,2022-11,2022-11
node_2067151,2022-09,2022-07
node_1982293,2022-08,2022-07
node_1909990,2022-09,2022-08
node_1866469,2022-10,2022-09
node_1780255,2022-10,2022-09
node_1835277,2022-09,2022-09
node_2114199,2022-08,2022-08
node_1809027,2022-10,2022-10
node_1740840,2022-10,2022-10
node_1508625,2022-05,2022-05
node_2199178,2022-07,2022-07
node_2078626,2022-08,2022-08
