PangoLineage,NodeID,Month,Score,LogScore,ClusterSize
B.20,node_18,2020-02,1.0,0.0,44
B.52,node_33,2020-02,1.001976896488359,0.0019749449999999706,112
B.57,node_100,2020-02,1.0,0.0,69
B.53,node_127,2020-02,1.0254703742146187,0.02515140900000001,85
B.11,node_221,2020-02,1.043835176415589,0.04290159999999993,348
B.10,node_399,2020-02,0.9994926167624313,-0.0005075120000000393,149
B.46,node_500,2020-03,1.0000725102287396,7.250759999998991e-05,55
B.19,node_652,2020-03,1.0039747986416787,0.003966919999999948,29
B.44,node_765,2020-02,0.9076268990091884,-0.09692188900000004,10
B.28,node_851,2020-02,0.901019282844132,-0.10422861999999994,364
B.31,node_924,2020-02,0.905440828104868,-0.09933335099999997,381
B.61,node_1020,2020-02,0.8328538519893128,-0.18289710000000003,3837
B.40,node_1021,2020-02,0.7663004145728401,-0.266181,3621
B.60,node_1496,2020-02,0.7663155260127522,-0.2661612802,125
B.33,node_1842,2020-02,0.9076144546220888,-0.0969356,2967
B.37,node_1859,2020-02,0.9075511071591739,-0.09700539800000003,30
B.32,node_1889,2020-03,0.9076514654435848,-0.09689482270000002,39
B.34,node_2039,2020-03,0.9076144546220888,-0.0969356,77
B.39,node_2050,2020-02,0.8822891872627795,-0.12523540000000005,652
B.58,node_2104,2020-03,0.8822891872627795,-0.12523540000000005,124
B.36,node_2191,2020-02,0.9289061201601696,-0.07374760000000005,10
B.35,node_2219,2020-03,0.964980450883658,-0.03564743599999996,104
B.38,node_2256,2020-03,0.9076805713882616,-0.0968627559,41
B.41,node_2371,2020-02,0.9062940111181533,-0.09839150999999997,134
B.29,node_2432,2020-02,0.9076144546220888,-0.0969356,387
B.30,node_2561,2020-03,0.907600973924709,-0.09695045299999996,76
B.6.3,node_2746,2020-03,0.9938813942748883,-0.006137401099999979,37
B.6.8,node_2763,2020-02,0.994090965425684,-0.005926562000000037,190
B.6.1,node_2814,2020-02,0.9938930944149174,-0.0061256289999999484,40
B.6.5,node_2819,2020-02,0.9938930944149174,-0.0061256289999999484,14
B.6.2,node_2826,2020-05,0.9940296171936374,-0.005988276800000011,16
B.6.6,node_2918,2020-03,0.9937961827359818,-0.006223140899999986,1133
