Month,Cases
2020-02,9927
2020-03,76096
2020-04,783348
2020-05,2412716
2020-06,2901229
2020-07,4292072
2020-08,7118656
2020-09,7941296
2020-10,8498335
2020-11,12122070
2020-12,17266494
2021-01,20356383
2021-02,19546070
2021-03,11253786
2021-04,14772312
2021-05,22542204
2021-06,19347136
2021-07,11472596
2021-08,15676958
2021-09,19894993
2021-10,16061455
2021-11,13064658
2021-12,15702891
2022-01,25614610
2022-02,90483564
2022-03,58251972
2022-04,51347034
2022-05,25217142
2022-06,16213566
2022-07,17732748
2022-08,29650733
2022-09,25713990
2022-10,14721332
2022-11,12795215
2022-12,12388536
2023-01,17219669
2023-02,10270797
