Month,Score,Strain,Node
2023-05,0.988000563517212,XCH,node_2433826
2023-07,0.8701140910362843,EG.5.1,node_2340748
2023-04,1.5566500498763134,BA.2,node_2620270
2022-05,1.1580821505166445,BA.2.10.1,node_2289655
2023-08,1.0002372835292666,HK.6,node_2336576
2023-05,0.9056046734690564,XBB.1,node_2291749
2023-07,1.1689546825762553,EG.5.1.6,node_2334521
2023-06,0.994544856641755,EG.5.2,node_2332910
2023-07,1.0598610560974497,EG.5.1,node_2334145
2023-04,1.029386707946757,XCJ,node_2483312
2023-05,0.9286018616792233,XBB.1,node_2291747
2023-07,1.701650314311424,GE.1,node_2488394
2023-07,0.9920122006843226,XBB.1.16,node_2294783
2023-05,0.9678594799289872,XBB.2.3.11,node_2486623
2023-06,1.0564238316661778,EG.5.1.4,node_2333899
2023-06,1.0301001630617173,XBB.1.16.6,node_2310305
2023-05,1.0881076574295045,XCK,node_2399170
2023-06,1.1761892453762866,XBB.1.16,node_2292523
2023-04,1.1435568715828521,XBB.2.3,node_2489041
2023-06,0.9938745589773264,XBB.1.9.1,node_2350980
2023-05,1.4225718493872948,XBB.1.5_17124,node_2430915
2023-06,0.9698683494960252,GF.1,node_2318607
2023-03,0.9487338293391973,XBB.1,node_2291802
2023-06,1.159946950972724,FE.1.2,node_2369802
2023-05,1.0321344207594763,XBB.1.16,node_2292522
2023-06,1.0252566673106136,XBB.1.16,node_2300964
2023-04,1.0402785300389528,GE.1,node_2488477
2023-05,0.9208832076660955,EG.5.1.1,node_2337026
2023-03,0.951137999321299,XBB.2.3,node_2489306
2023-06,1.1266966286325169,FL.1.5,node_2352162
2023-05,1.0728106261960637,XBB.1.16.1,node_2305420
2023-06,1.0187574859470905,XBB.1.16.2,node_2308979
2023-05,1.038340526091833,XBB.1,node_2291782
2023-03,1.1162669400712855,XBB.1.16,node_2300534
2023-05,1.015726797585401,FL.25,node_2328010
2023-04,1.161691443326995,FL.4.8,node_2358124
2023-05,1.5411972751320357,XBB.1.9.1,node_2326914
2023-03,1.4378608396455328,XBB.1.5.20,node_2402808
2023-05,0.9210871233399627,XBC.1.6,node_2155229
2023-04,1.0412227287819664,XBB.1.9.1,node_2355176
2023-04,1.0061776507955655,XBB.2.3.3,node_2485420
